instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,next_slide,0,0,0,0,0,0,1,0,0,0,0.4673537214597066,0.9745663404464722,0.31793176134427387,0.908444881439209,0.23983178039391836,0.951965351899465,1,0,0.22752194106578824,-0.022600988547007206
2,next_slide,0,0,0,0,0,0,1,0,0,0,0.43700669209162396,0.9630987842877706,0.31329022844632465,0.9499606887499491,0.22770822048187256,0.969743033250173,1,0,0.2092984716097514,0.006644248962402344
3,next_slide,0,0,0,0,0,0,1,0,0,0,0.4310210744539897,0.9556956688563029,0.2964661320050557,0.9202603101730347,0.20552443464597067,0.9432586232821146,1,0,0.225496639808019,-0.012437045574188232
4,next_slide,0,0,0,0,0,0,1,0,0,0,0.4242090582847595,0.9657499591509501,0.26485436658064526,0.945332924524943,0.2098203202088674,0.9591277837753296,1,0,0.21438873807589212,-0.006622175375620487
5,next_slide,0,0,0,0,0,0,1,0,0,0,0.40828603506088257,0.9735002319018046,0.2978328963120778,0.9548727869987488,0.22645494838555655,0.9700469374656677,1,0,0.18183108667532602,-0.0034532944361368445
6,previous_slide,0,0,0,0,0,0,1,0,0,0,0.13189134498437247,0.8020469943682352,0.28894421458244324,0.802725076675415,0.43108954032262164,0.8703239560127258,1,0,-0.2991981953382492,0.0682769616444906
7,previous_slide,0,0,0,0,0,0,1,0,0,0,0.15149733424186707,0.9121234814325968,0.34275785088539124,0.8938589890797933,0.45186837514241535,0.9234486023585001,1,0,-0.3003710409005483,0.01132512092590332
8,previous_slide,0,0,0,0,0,0,1,0,0,0,0.13503840565681458,0.9563550551732382,0.3480948706467946,0.9097583691279093,0.45903483033180237,0.9345107674598694,1,0,-0.3239964246749878,-0.02184428771336877
9,previous_slide,0,0,0,0,0,0,1,0,0,0,0.1557216246922811,0.9396774768829346,0.358137051264445,0.9274683594703674,0.44935908913612366,0.9436377684275309,1,0,-0.29363746444384253,0.003960291544596317
10,previous_slide,0,0,0,0,0,0,1,0,0,0,0.13653013606866202,0.9059812625249227,0.3814983566602071,0.8895745078722636,0.45018498102823895,0.9234947760899862,1,0,-0.31365484495957696,0.017513513565063477
